
Test set: Average loss: 7.548961, Accuracy: 9.910000 

Train Epoch: 1	[27200/50000 (54%)]	Loss: 0.240003	Accuracy: 45.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[27400/50000 (55%)]	Loss: 0.278000	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[27600/50000 (55%)]	Loss: 0.253046	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[27800/50000 (56%)]	Loss: 0.290304	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[28000/50000 (56%)]	Loss: 0.303444	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[28200/50000 (56%)]	Loss: 0.260879	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[28400/50000 (57%)]	Loss: 0.251381	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[28600/50000 (57%)]	Loss: 0.327984	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[28800/50000 (58%)]	Loss: 0.245817	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[29000/50000 (58%)]	Loss: 0.323234	Accuracy: 30.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[29200/50000 (58%)]	Loss: 0.244666	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[29400/50000 (59%)]	Loss: 0.467280	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[29600/50000 (59%)]	Loss: 0.143846	Accuracy: 65.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[29800/50000 (60%)]	Loss: 0.336526	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[30000/50000 (60%)]	Loss: 0.299879	Accuracy: 25.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[30200/50000 (60%)]	Loss: 0.295414	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[30400/50000 (61%)]	Loss: 0.258897	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[30600/50000 (61%)]	Loss: 0.248649	Accuracy: 55.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[30800/50000 (62%)]	Loss: 0.347534	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[31000/50000 (62%)]	Loss: 0.172606	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[31200/50000 (62%)]	Loss: 0.206975	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[31400/50000 (63%)]	Loss: 0.221915	Accuracy: 45.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[31600/50000 (63%)]	Loss: 0.299764	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[31800/50000 (64%)]	Loss: 0.309048	Accuracy: 30.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[32000/50000 (64%)]	Loss: 0.282730	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[32200/50000 (64%)]	Loss: 0.234782	Accuracy: 40.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[32400/50000 (65%)]	Loss: 0.198320	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[32600/50000 (65%)]	Loss: 0.323100	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[32800/50000 (66%)]	Loss: 0.201917	Accuracy: 50.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[33000/50000 (66%)]	Loss: 0.186297	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[33200/50000 (66%)]	Loss: 0.219003	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
